12/24/2020,12/24/2020,GOOGLE *YouTube Music 855-836-3987 CA        01/30,-10.85,
12/24/2020,12/24/2020,DISCOVER         E-PAYMENT  2463            WEB ID: 2510020270,-453.31,
12/24/2020,12/24/2020,FID BKG SVC LLC  MONEYLINE                  PPD ID: 0368004600,-1000,
12/24/2020,12/24/2020,GABLES-1JP20466  WEB PMTS   R78427          WEB ID: 9000326709,-1300,
12/24/2020,12/24/2020,COSTCO GAS #0427 SCOTTSDALE AZ       076336  02/01,-38,Supermarkets
12/24/2020,12/24/2020,SQ *PRESS SCOTTSDALE QU Scottsdale AZ        02/01,-5.24,Coffee
12/24/2020,12/24/2020,WHOLEFDS SCT 10246 PHOENIX AZ                01/31,-29.49,Supermarkets
12/24/2020,12/24/2020,THE HERB BOX SOUTHBRID SCOTTSDALE AZ         01/30,-63.49,Restaurants
12/24/2020,12/24/2020,WHOLEFDS SCT 10246 PHOENIX AZ                01/29,-45.62,Supermarkets
12/24/2020,12/24/2020,PAYPAL *MEDIUM.COM 402-935-7733 CA           01/29,-5,
12/24/2020,12/24/2020,Online Transfer from SAV ...9797 transaction#: 11093869250,455,
12/24/2020,12/24/2020,WHOLEFDS SCT 10246 PHOENIX AZ                01/28,-13.98,Supermarkets
12/24/2020,12/24/2020,CVO HOLDING COMP DIRECT DEP                 PPD ID: 9111111101,2422.51,
12/24/2020,12/24/2020,STAPLES 0715 SCOTTSDALE AZ           017590  01/28,-160.44,
12/24/2020,12/24/2020,WHOLEFDS SCT 10246 PHOENIX AZ                01/27,-27.38,Supermarkets
12/24/2020,12/24/2020,STARBUCKS STORE 62567 PHOENIX AZ             01/26,-2.99,Coffee
12/24/2020,12/24/2020,WALGREENS STORE 20631 SCOTTSDALE AZ  110185  01/26,-15.11,Supermarkets
12/24/2020,12/24/2020,ELEVATE COFFEE COMPANY PHOENIX AZ            01/25,-8.32,Coffee
12/24/2020,12/24/2020,BEST BUY      00014811 PHOENIX AZ    948062  01/25,-217.19,
12/24/2020,12/24/2020,WHOLEFDS SCT 10246 PHOENIX AZ                01/24,-5.99,Supermarkets
12/24/2020,12/24/2020,WALGREENS STORE 20631 SCOTTSDALE AZ  432747  01/24,-6.47,Supermarkets
12/24/2020,12/24/2020,CIRCLE K 05915 SCOTTSDALE AZ                 01/24,-13.53,
12/24/2020,12/24/2020,ELEVATE COFFEE COMPANY PHOENIX AZ            01/23,-2.16,Coffee
12/24/2020,12/24/2020,ELEVATE COFFEE COMPANY PHOENIX AZ            01/23,-4.28,Coffee
